;Passos;Pontuação;Cargo;Bateria;Entregas
0;10.82;-10.82;1.0;59.14;0.0
1;23.4;26.6;0.0;47.09;1.0
2;35.55;14.17;1.0;34.94;1.0
3;48.61;47.83;0.0;22.06;2.0
4;63.98;17.82;1.0;7.73;2.0
5;82.25;10.59;0.0;-8.25;3.0
6;99.54;-59.22;1.0;-24.13;3.0
7;121.5;-108.54;0.0;-42.84;4.0
