;Passos;Pontuação;Cargo;Bateria;Entregas
0;10.56;-10.56;1.0;59.4;0.0
1;22.7;27.3;0.0;47.79;1.0
2;34.35;15.65;1.0;36.14;1.0
3;47.15;50.89;0.0;23.52;2.0
4;61.8;24.44;1.0;9.35;2.0
5;78.95;22.93;0.0;-6.41;3.0
6;95.5;-44.34;1.0;-20.3;3.0
7;116.72;-89.4;0.0;-39.15;4.0
